Model,Year,Price,Body,Storage,Display,Camera,Battery,Colours
OnePlus 6,Released 2018  May,About 520 EUR,177g  7.8mm thickness,128/256GB storage  no card slot,6.28",16 MP  f/1.7  25mm  1/2.6"  1.22µm  OIS  PDAF,3300,Midnight Black  Mirror Black  Silk White  Amber Red
OnePlus 5T,Released 2017  November,About 500 EUR,162g  7.3mm thickness,128GB storage  no card slot,6.01",16 MP  f/1.7  27mm  1/2.8"  1.12µm  PDAF,3300,Midnight Black  Lava Red  Sandstone White (128/8GB only)
OnePlus 5,Released 2017  June,About 500 EUR,153g  7.3mm thickness,128GB storage  no card slot,5.5",16 MP  f/1.7  24mm  1/2.8"  1.12µm  PDAF,3300,Midnight Black  Slate Gray
OnePlus 3T,Released 2016  November,About 440 EUR,158g  7.4mm thickness,64/128GB storage  no card slot,5.5",16 MP  f/2.0  1/2.8"  1.12µm  OIS  PDAF,3400,Gunmetal  Soft Gold  Midnight Black
OnePlus X,Released 2015  November,About 270 EUR,138g / 160g  6.9mm thickness,16GB storage  microSD card slot,5.0",13 MP  f/2.2  1/3"  1.14µm  PDAF,2525,Onyx  Ceramic  Champagne
OnePlus 3,Released 2016  June,About 400 EUR,158g  7.4mm thickness,64GB storage  no card slot,5.5",16 MP  f/2.0  1/2.8"  1.12µm  OIS  PDAF,3000,Graphite  soft gold
OnePlus 2,Released 2015  August,About 300 EUR,175g  9.9mm thickness,16GB storage  no card slot,5.5",13 MP  f/2.0  1/2.6"  1.3µm  OIS  laser AF,3300,Sandstone Black
OnePlus One,Released 2014  June,About 250 EUR,162g  8.9mm thickness,16/64GB storage  no card slot,5.5",13 MP  f/2.0  1/3"  1.12µm  AF,3100,Silk White  Sandstone Black
