Model,Year,Price,Body,Storage,Display,Camera,Battery,Colours
Samsung Galaxy Tab S2 9.7,Released 2015, September,About 400 EUR,389g (Wi-Fi) / 392g (LTE), 5.6mm thickness,32/64GB storage, microSD card slot   3,9.7",8 MP, AF,5870,White, black, gold
Samsung Galaxy Tab S2 8.0,Released 2015, September,About 400 EUR,265g (Wi-Fi) / 272g (LTE), 5.6mm thickness,32/64GB storage, microSD card slot   3,8.0",8 MP, AF,4000,White, black gold
Samsung Galaxy A8 Duos,Released 2015, August,About 380 EUR,151g, 5.9mm thickness,32GB storage, microSD card slot   2,5.7",16 MP, f/1.9, 31mm, AF,3050,Pearl White, Midnight Black, Champagne Gold
Samsung Galaxy A8,Released 2015, August,About 250 EUR,151g, 5.9mm thickness,32GB storage, microSD card slot   2,5.7",16 MP, f/1.9, 31mm, AF,3050,Pearl White, Midnight Black, Champagne Gold
Samsung Galaxy V Plus,Released 2015, July,About 70 EUR,123g, 10.7mm thickness,4GB storage, microSD card slot   512,4.0",3.15 MP,1500,White, Black
Samsung Galaxy J7,Released 2015, June,About 200 EUR,171g, 7.5mm thickness,16GB storage, microSD card slot   1.5,5.5",13 MP, f/1.9, 28mm, AF,3000,White, Black, Gold
Samsung Galaxy J7 Nxt,Released 2017, July,About 180 EUR,170g, 7.6mm thickness,16GB storage, microSD card slot   2,5.5",13 MP, f/1.9, 28mm, AF,3000,Black, Gold
Samsung Galaxy J5,Released 2015, June,About 160 EUR,146g, 7.9mm thickness,8/16GB storage, microSD card slot   1.5,5.0",13 MP, f/1.9, 28mm, AF,2600,White, Black, Gold
Samsung Galaxy Tab 4 10.1 (2015),Released 2015, Q3,About 280 EUR,487g, 7.9mm thickness,16GB storage, microSD card slot   1.5,10.1",3.15 MP,6800,White, Black
Samsung Galaxy Tab E 9.6,Released 2015, July,About 200 EUR,490g (Wi-Fi)/ 495g (3G), 8.5mm thickness,8/16GB storage, microSD card slot   1.5,9.6",5 MP, AF, f/2.2,5000,Pearl White, Metallic Black
Samsung Guru Plus ,Released 2015, Q2,About 20 EUR,66g, 13.2mm thickness,4MB RAM storage, no card slot   4,1.5",No,800,Black, White, Dark Blue
Samsung Metro 360,Released 2015,About 50 EUR,83g, 11.4mm thickness,64MB RAM storage, microSD card slot   64,2.4",3.15 MP,1000,Black, White, Brown
Samsung Xcover 550,Released 2015, July,About 110 EUR,124g, 14mm thickness,256MB storage, microSD card slot   128,2.4",3.15 MP,1500,Steel Grey, Dark Silver
Samsung Galaxy S6 active,Released 2015, June,About 380 EUR,170g, 8.6mm thickness,32/64GB storage, no card slot   3,5.1",16 MP, f/1.9, 28mm, 1/2.6", 1.12µm, AF,3500,White, Gray
Samsung Galaxy Tab 3 V,Released 2015, April,About 130 EUR,322g, 9.7mm thickness,8GB storage, microSD card slot   1,7.0",2 MP,3600,White, Black
Samsung Galaxy Tab A 9.7 & S Pen,Released 2015, July,About 340 EUR,490g, 7.5mm thickness,16GB storage, microSD card slot   2,9.7",5 MP, AF,6000,Black, White, Gray
Samsung Galaxy Tab A 9.7,Released 2015, May,About 250 EUR,450g (Wi-Fi), 453g (LTE), 7.5mm thickness,16GB storage, microSD card slot   2,9.7",5 MP, AF,6000,Smoky Titanium, Smoky Blue, White
Samsung Galaxy Tab A 8.0 & S Pen,Released 2015, May,About 220 EUR,338g, 7.5mm thickness,16GB storage, microSD card slot   2,8.0",5 MP, AF,4200,Black, Gray, White
Samsung Galaxy Tab A 8.0,Released 2015, May,About 210 EUR,313g, 7.4mm thickness,16GB storage, microSD card slot   2,8.0",5 MP, AF,4200,Smoky Titanium, Smoky Blue, White
Samsung Galaxy Xcover 3,Released 2015, April,About 220 EUR,154g, 10mm thickness,8GB storage, microSD card slot   1.5,4.5",5 MP, AF,2200,Gray
