Model,Year,Body,Storage,Display,Camera,Battery,Colours
LG Candy,Released 2018, September,152g, 8.2mm thickness,16GB storage, microSD card slot 2,5.0",8 MP, AF,2500,Black, Gold, Blue, Silver
LG G7 Fit,Exp. release 2018, September,156g, 7.9mm thickness,32/64GB storage, microSD card slot 4,6.1",16 MP, f/2.2, 28mm, PDAF & laser AF,3000,New Aurora Black, New Platinum Gray
LG G7 One,Exp. release 2018, September,156g, 7.9mm thickness,32GB storage, microSD card slot 4,6.1",16 MP, f/1.6, 31mm, 1/3.1", 1.0µm, PDAF & laser AF,3000,New Aurora Black, New Moroccan Blue
LG Q8,Exp. release 2018, September,172g, 8.4mm thickness,64GB storage, microSD card slot 4,6.2",16 MP, PDAF,3300,Aurora Black, Moroccan Blue
LG K11 Plus,Released 2018, July,8.7mm thickness,32GB storage, microSD card slot 3,5.3",13 MP, f2.2, 26mm, 1/3.1", PDAF - LG K11+,3000,Moroccan Blue, Terra Gold
LG Q Stylo 4,Released 2018, June,172g, 8.1mm thickness,32GB storage, microSD card slot 2,6.2",13 MP, f/2.4, PDAF,3300,Aurora Black
