Model,Year,Body,Storage,Display,Camera,Battery,Colours
Nokia 6.1 Plus (Nokia X6),Released 2018, August,151g, 8mm thickness,64GB storage, microSD card slot 6,5.8",16 MP, f/2.0, 1.0µm, PDAF,3060,Black, Blue, White
Nokia 5.1 Plus (Nokia X5),Released 2018, July,160g, 8.1mm thickness,64GB storage, microSD card slot 4,5.86",13 MP, f/2.0, PDAF,3060,Night black, Glacier white, Baltic sea blue
Nokia 5.1,Released 2018, August,8.2mm thickness,32GB storage, microSD card slot 3,5.5",16 MP, PDAF,2970,Copper, Tempered Blue, Black
Nokia 3.1,Released 2018, May,138.3g, 8.7mm thickness,32GB storage, microSD card slot 3,5.2",13 MP, f/2.0, AF,2990,Blue/Copper, Black/Chrome, White/Iron
Nokia 2.1,Released 2018, August,174g, 9.7mm thickness,8GB storage, microSD card slot 1,5.5",8 MP, AF,4000,Blue/Copper, Blue/Silver, Grey/Silver
Nokia 8110 4G,Released 2018, July,117g, 14.9mm thickness,4GB storage, microSD card slot 512,2.4",2 MP,1500,Traditional Black, Banana Yellow
Nokia 8 Sirocco,Released 2018, April,177g, 7.5mm thickness,128GB storage, no card slot 6,5.5",12 MP, f/1.8, 25mm, 1.4µm, dual pixel PDAF,3260,Black
Nokia 7 plus,Released 2018, March,183g, 8mm thickness,64GB storage, microSD card slot 4,6.0",12 MP, f/1.8, 25mm, 1.4µm, dual pixel PDAF,3800,Black/Copper, White/Copper
Nokia 6.1,Released 2018, April,172g, 8.2mm thickness,32/64GB storage, microSD card slot 4,5.5",16 MP, f/2.0, 27mm, 1.0µm, PDAF,3000,Black/Copper, White/Iron, Blue/Gold
Nokia 1,Released 2018, April,9.5mm thickness,8GB storage, microSD card slot 1,4.5",5 MP,2150,Warm Red, Dark Blue
Nokia 3310 4G,Released 2018, February,88.1g, 13.4mm thickness,512MB storage, microSD card slot 256,2.4",2 MP,1200,Azure, Yellow, Warm Red, Charcoa
Nokia 2,Released 2017, November,161g, 9.3mm thickness,8GB storage, microSD card slot 1,5.0",8 MP, AF,4100,Pewter/Black, Pewter/White, Copper/Black
Nokia 7,Released 2017, October,7.9mm thickness,64GB storage, microSD card slot 6,5.2",16 MP, f/1.8, 1.12µm, PDAF,3000,Gloss Black, Matt White
