Model,Year,Price,Body,Storage,Display,Camera,Battery,Colours
Nokia 225 Dual SIM,Released 2014  May,About 50 EUR,100.6g  10.4mm thickness,microSD card slot,2.8",2 MP  1/5",1200,Red  yellow  green  black  white
Nokia Lumia 930,Released 2014  July,About 370 EUR,167g  9.8mm thickness,32GB storage  no card slot,5.0",20 MP  f/2.4  26mm  1/2.5"  OIS  AF,2420,Bright orange  bright green  white  black  gold
Nokia Lumia 635,Released 2014  June,About 110 EUR,134g  9.2mm thickness,8GB storage  microSD card slot,4.5",5 MP  1/4"  AF,1830,Bright Orange  bright green  bright yellow  white  black
Nokia Lumia 630 Dual SIM,Released 2014  May,About 140 EUR,134g  9.2mm thickness,8GB storage  microSD card slot,4.5",5 MP  1/4"  AF,1830,Bright Orange  bright green  bright yellow  white  black
Nokia Lumia 630,Released 2014  May,About 110 EUR,134g  9.2mm thickness,8GB storage  microSD card slot,4.5",5 MP  1/4"  AF,1830,Bright Orange  bright green  bright yellow  white  black
Nokia XL,Released 2014  May,About 100 EUR,190g  10.9mm thickness,4GB storage  microSD card slot,5.0",5 MP  f/2.8  32mm  1/4"  AF,2000,Bright green  orange  cyan  yellow  black  white
Nokia X+,Released 2014  May,About 120 EUR,128.7g  10.4mm thickness,4GB storage  microSD card slot,4.0",3.15 MP  1/5",1500,Bright green  bright red  cyan  yellow  black  white
Nokia X,Released 2014  March,About 100 EUR,128.7g  10.4mm thickness,4GB storage  microSD card slot,4.0",3.15 MP  1/5",1500,Bright green  bright red  cyan  yellow  black  white
Nokia Asha 230,Released 2014  February,About 60 EUR,89.3g  13.2mm thickness,64MB RAM storage  microSD card slot,2.8",1.3 MP,1020,Bright Red  Yellow  Bright Green  White  Cyan  Black
Nokia 220,Released 2014  February,About 40 EUR,83.6  13.2mm thickness,microSD card slot,2.4",2 MP  1/5",1100,Red  black  white  yellow  cyan
Nokia Lumia Icon,Released 2014  February,About 400 EUR,167g  9.8mm thickness,32GB storage  no card slot,5.0",20 MP  1/1.5"  1.12µm  OIS  AF,2420,Black  White
